Nombre,Direccion,Telefono,CURP
Saul,casa de saul,6444556601,SAUL6444556601HSRR
Marco,casa de marco,6444556602,MARC6444556602HSRR
Abraham,casa de abraham,6444556603,ABRA6444556603HSRR
Andrea,casa de andrea,6444556604,ANDR6444556604HSRR
Gaspar,casa de gaspar,6444556605,GASP6444556605HSRR
Joel,casa de joel,6444556606,JOEL6444556606HSRR
Ramon,casa de ramon,6444556607,RAMO6444556607HSRR
Marian,casa de marian,6444556608,MARI6444556608HSRR
Michelle,casa de michelle,6444556609,MICH6444556609HSRR
Joceline,casa de joceline,6444556610,JOCE6444556610HSRR
